prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,Kloc+,Effort-,Defects-,Months-
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,66.6,300,2077,21
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,29.5,120,920,16
1,1,1,2,4,1,4,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4,15,90,575,15.2
1,1,1,2,4,1,4,1,4,4,4,4,4,4,1,4,1,4,4,4,4,4,38,210,1553,21.3
1,1,1,2,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,10,48,427,12.4
1,1,1,2,1,4,2,1,4,4,2,2,3,2,4,4,1,3,1,4,4,3,15.4,70,765,14.5
1,1,1,2,1,4,2,1,4,4,2,2,3,2,4,4,1,3,1,4,4,3,48.5,239,2409,21.4
1,1,1,2,1,4,2,1,4,4,2,2,3,2,4,4,1,3,1,4,4,3,16.3,82,810,14.8
1,1,1,2,1,4,2,1,4,4,2,2,3,2,4,4,1,3,1,4,4,3,12.8,62,636,13.6
1,1,1,2,1,4,2,1,4,4,2,2,3,2,4,4,1,3,1,4,4,3,32.6,170,1619,18.7
1,1,1,2,1,4,2,1,4,4,2,2,3,2,4,4,1,3,1,4,4,3,35.5,192,1763,19.3
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,5.5,18,172,9.1
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,10.4,50,324,11.2
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,14,60,437,12.4
1,1,1,2,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6.5,42,290,12
1,1,1,2,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,60,683,14.8
1,1,1,2,1,4,4,1,4,4,4,4,4,4,1,4,4,4,1,1,4,4,90,444,3343,26.7
1,1,1,2,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,42,420,12.5
1,1,1,2,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,16,114,887,16.4
1,1,1,2,1,4,1,1,4,4,2,1,3,1,1,4,4,3,1,4,4,3,177.9,1248,7998,31.5
1,1,1,2,1,1,3,1,4,4,4,4,3,4,1,4,4,4,4,4,4,4,302,2400,8543,38.4
1,1,1,2,1,4,1,3,4,4,4,4,1,1,4,4,1,4,4,1,4,4,282.1,1368,9820,37.3
1,1,1,2,1,1,1,3,4,4,4,4,4,1,4,4,1,4,4,4,4,4,284.7,973,8518,38.1
1,1,1,2,4,1,1,4,4,4,4,4,3,4,1,4,1,4,1,4,4,4,79,400,2327,26.9
1,1,1,2,3,3,4,4,4,4,4,4,3,1,2,4,1,4,1,4,4,4,423,2400,18447,41.9
1,1,1,2,1,4,4,4,4,4,4,4,3,1,2,4,2,3,1,4,4,4,190,420,5092,30.3
1,1,1,2,1,4,4,1,4,4,4,1,4,1,4,4,1,4,1,4,4,4,47.5,252,2007,22.3
1,1,1,2,3,2,4,5,4,4,1,1,3,4,4,4,1,4,4,1,4,4,21,107,1058,21.3
1,1,1,2,3,4,1,1,4,4,2,4,4,1,1,4,1,4,1,4,4,4,78,571.4,4815,30.5
1,1,1,2,3,4,1,1,4,4,2,4,4,1,1,4,1,4,1,4,4,4,11.4,98.8,704,15.5
1,1,1,2,3,4,1,1,4,4,2,4,4,1,1,4,1,4,1,4,4,4,19.3,155,1191,18.6
1,1,1,2,3,1,4,2,4,4,1,1,3,1,4,4,4,1,1,4,4,4,101,750,4840,32.4
1,1,1,2,3,1,4,1,4,4,1,1,3,4,4,4,1,4,4,4,4,4,219,2120,11761,42.8
1,1,1,2,3,1,4,1,4,4,1,1,3,4,4,4,1,4,4,4,4,4,50,370,2685,25.4
1,1,1,2,1,2,1,1,4,4,2,2,4,2,2,4,2,4,1,1,4,3,227,1181,6293,33.8
1,1,1,2,1,4,1,2,4,4,4,4,3,1,2,4,4,3,4,4,4,3,70,278,2950,20.2
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,0.9,8.4,28,4.9
1,1,1,2,3,2,3,5,4,4,5,2,3,1,1,4,2,6,1,4,4,4,980,4560,50961,96.4
1,1,1,2,4,4,3,1,4,4,4,4,3,2,2,4,4,1,1,4,4,4,350,720,8547,35.7
1,1,1,2,1,1,4,5,4,4,1,1,3,1,4,4,4,1,1,1,4,4,70,458,2404,27.5
1,1,1,2,1,1,4,5,4,4,1,1,3,1,4,4,4,1,1,1,4,4,271,2460,9308,43.4
1,1,1,2,4,4,4,4,4,4,4,4,3,1,1,4,1,4,1,4,4,4,90,162,2743,25
1,1,1,2,4,4,4,4,4,4,4,4,3,1,1,4,1,4,1,4,4,4,40,150,1219,18.9
1,1,1,2,4,1,4,1,4,4,1,4,3,1,1,4,1,4,1,4,4,4,137,636,4210,32.2
1,1,1,2,4,1,4,1,4,4,1,4,1,1,1,4,1,4,1,4,4,4,150,882,5848,36.2
1,1,1,2,4,2,4,1,4,4,1,4,3,1,1,4,1,4,1,4,4,4,339,444,8477,45.9
1,1,1,2,4,3,1,3,4,4,4,4,1,1,1,4,1,4,1,4,4,4,240,192,10313,37.1
1,1,1,2,3,1,4,1,4,4,4,2,3,1,1,4,1,1,1,4,4,3,144,576,6129,28.8
1,1,1,2,3,4,3,4,4,4,4,2,3,1,1,4,1,1,1,4,4,3,151,432,6136,26.2
1,1,1,2,3,4,3,1,4,4,4,2,3,1,1,4,1,1,1,4,4,3,34,72,1555,16.2
1,1,1,2,3,4,4,1,4,4,4,2,3,1,1,4,1,1,1,4,4,3,98,300,4907,24.4
1,1,1,2,3,4,4,1,4,4,4,2,3,1,1,4,1,1,1,4,4,3,85,300,4256,23.2
1,1,1,2,3,4,3,4,4,4,4,2,3,1,1,4,1,1,1,4,4,3,20,240,813,12.8
1,1,1,2,3,4,3,4,4,4,4,2,3,1,1,4,1,1,1,4,4,3,111,600,4511,23.5
1,1,1,2,3,1,2,1,4,4,4,2,3,1,1,4,1,1,1,4,4,3,162,756,7553,32.4
1,1,1,2,3,1,1,2,4,4,4,2,3,1,1,4,1,1,1,4,4,3,352,1200,17597,42.9
1,1,1,2,3,1,4,2,4,4,4,2,3,1,1,4,1,1,1,4,4,3,165,97,7867,31.5
1,1,1,2,1,1,4,2,4,4,1,1,3,1,4,4,4,1,1,4,4,4,60,409,2004,24.9
1,1,1,2,1,1,4,2,4,4,1,1,3,1,4,4,4,1,1,4,4,4,100,703,3340,29.6
1,1,1,2,4,1,2,2,4,4,5,5,1,4,4,4,4,3,3,4,4,4,32,1350,2984,33.6
1,1,1,2,1,1,1,1,4,4,2,5,1,1,1,4,1,1,1,4,4,4,53,480,2227,28.8
1,1,1,2,1,1,3,2,4,4,2,5,3,2,2,4,2,6,6,1,4,4,41,599,1594,23
1,1,1,2,1,1,3,2,4,4,2,5,3,2,2,4,2,6,6,1,4,4,24,430,933,19.2
1,1,1,2,1,2,1,2,4,4,5,5,4,1,1,4,1,1,1,4,4,4,165,4178.2,6266,47.3
1,1,1,2,1,2,1,2,4,4,5,5,4,1,1,4,1,1,1,4,4,4,65,1772.5,2468,34.5
1,1,1,2,1,2,1,2,4,4,5,5,4,1,1,4,1,1,1,4,4,4,70,1645.9,2658,35.4
1,1,1,2,1,2,1,5,4,4,5,5,4,1,1,4,1,1,1,4,4,4,50,1924.5,2102,34.2
1,1,1,2,3,2,3,2,4,4,2,5,3,1,4,4,3,6,3,1,4,4,7.25,648,406,15.6
1,1,1,2,1,2,1,2,4,4,5,5,4,1,1,4,1,1,1,4,4,4,233,8211,8848,53.1
1,1,1,2,4,1,4,2,4,4,2,2,1,4,4,4,4,3,3,4,4,4,16.3,480,1253,21.5
1,1,1,2,4,1,4,2,4,4,2,2,1,4,4,4,4,3,3,4,4,4,6.2,12,477,15.4
1,1,1,2,4,1,4,2,4,4,2,2,1,4,4,4,4,3,3,4,4,4,3,38,231,12
