Clndrs,Volume,Lbs-,Acc+,Model,origin,Mpg+
8,302,3725,13.4,79,1,20
6,225,3465,16.6,81,1,20
6,231,3445,13.4,78,1,20
8,307,3504,12,70,1,20
8,318,3436,11,70,1,20
6,199,2774,15.5,70,1,20
6,232,3288,15.5,71,1,20
6,258,2962,13.5,71,1,20
6,250,3139,14.5,71,1,20
4,121,2933,14.5,72,2,20
6,225,3121,16.5,73,1,20
6,232,2945,16,73,1,20
6,250,3021,16.5,73,1,20
6,232,2789,15,73,1,20
3,70,2124,13.5,73,3,20
6,225,3613,16.5,74,1,20
6,250,3459,16,75,1,20
6,225,3785,19,75,1,20
6,171,2984,14.5,75,1,20
6,250,3574,21,76,1,20
6,258,3410,15.1,78,1,20
8,302,3205,11.2,78,1,20
8,318,3830,15.2,79,1,20
6,250,3645,16.2,76,1,20
6,250,3525,19,77,1,20
8,360,3940,13,79,1,20
6,225,3620,18.7,78,1,20
6,232,2634,13,71,1,20
6,250,3302,15.5,71,1,20
6,250,3282,15,71,1,20
3,70,2330,13.5,72,3,20
4,122,2310,18.5,73,1,20
4,121,2868,15.5,73,2,20
6,232,2901,16,74,1,20
6,225,3264,16,75,1,20
6,232,3211,17,75,1,20
4,120,3270,21.9,76,2,20
6,156,2930,15.5,76,3,20
6,225,3630,17.7,77,1,20
6,225,3381,18.7,80,1,20
6,231,3535,19.2,78,1,20
8,305,3425,13.2,78,1,20
8,267,3605,15,79,1,20
8,318,3735,13.2,78,1,20
6,232,3210,17.2,78,1,20
6,200,2990,18.2,79,1,20
8,260,3365,15.5,78,1,20
4,140,2408,19.5,72,1,20
4,97,2279,19,73,3,20
4,114,2582,14,73,2,20
6,156,2807,13.5,73,3,20
6,198,3102,16.5,74,1,20
8,262,3221,13.5,75,1,20
6,232,2914,16,75,1,20
6,225,3651,17.7,76,1,20
4,130,3150,15.7,76,2,20
8,302,3570,12.8,78,1,20
6,200,2965,15.8,78,1,20
6,232,3265,18.2,79,1,20
6,200,3060,17.1,81,1,20
5,131,2830,15.9,78,2,20
6,231,3425,16.9,77,1,20
6,200,3155,18.2,78,1,20
6,225,3430,17.2,78,1,20
6,231,3380,15.8,78,1,20
6,225,3360,16.6,79,1,20
6,200,3070,16.7,78,1,20
6,200,2587,16,70,1,20
6,199,2648,15,70,1,20
4,122,2226,16.5,72,1,20
4,120,2979,19.5,72,2,20
4,140,2401,19.5,73,1,20
6,155,2472,14,73,1,20
6,200,2875,17,74,1,20
6,231,3039,15,75,1,20
4,134,2515,14.8,78,3,20
4,121,2600,12.8,77,2,20
3,80,2720,13.5,77,3,20
6,231,3245,15.4,79,1,20
4,121,2795,15.7,78,2,20
6,198,2833,15.5,70,1,20
4,140,2408,19,71,1,20
4,121,2511,18,72,2,20
4,122,2395,16,72,1,20
4,108,2379,16.5,73,3,20
4,121,2945,14.5,75,2,20
6,225,3233,15.4,76,1,20
6,250,3353,14.5,76,1,20
6,146,2815,14.5,77,3,20
6,232,2835,14.7,82,1,20
4,140,2890,17.3,79,1,20
6,231,3415,15.8,81,1,20
6,232,3085,17.6,76,1,20
4,122,2220,14,71,1,20
4,97,2254,23.5,72,2,20
4,120,2506,14.5,72,3,20
6,198,2904,16,73,1,20
4,140,2639,17,75,1,20
4,140,2592,18.5,75,1,20
4,115,2694,15,75,2,20
4,120,2957,17,75,2,20
8,350,3900,17.4,79,1,20
4,151,3035,20.5,82,1,20
4,156,2745,16.7,78,1,20
6,173,2725,12.6,81,1,20
4,140,2905,14.3,80,1,20
3,70,2420,12.5,80,3,20
4,151,2855,17.6,78,1,20
4,119,2405,14.9,78,3,20
8,260,3420,22.2,79,1,20
4,113,2372,15,70,3,20
4,107,2430,14.5,70,2,20
4,113,2278,15.5,72,3,20
4,116,2158,15.5,73,2,20
4,121,2660,14,73,2,20
4,90,2108,15.5,74,2,20
4,120,2489,15,74,3,20
4,134,2702,13.5,75,3,20
4,119,2545,17,75,3,20
6,200,3012,17.6,76,1,20
4,140,2865,16.4,82,1,20
6,146,2930,13.8,81,3,20
4,151,3003,20.1,80,1,20
4,98,2164,22.1,76,1,20
4,151,2740,16,77,1,20
4,110,2672,17.5,70,2,30
4,104,2375,17.5,70,2,30
4,113,2228,14,71,3,30
4,98,2046,19,71,1,30
4,97.5,2126,17,72,1,30
4,140,2542,17,74,1,30
4,90,2223,16.5,75,2,30
4,121,2671,13.5,75,2,30
4,116,2220,16.9,76,2,30
4,140,2572,14.9,76,1,30
6,181,2945,16.4,82,1,30
4,140,2720,15.4,78,1,30
5,183,3530,20.1,79,2,30
6,168,2900,12.6,81,3,30
4,122,2300,15.5,77,1,30
4,140,2755,15.8,77,1,30
4,156,2620,14.4,81,1,30
4,97,1835,20.5,70,2,30
4,121,2234,12.5,70,2,30
4,91,1955,20.5,71,1,30
4,96,2189,18,72,2,30
4,97,1950,21,73,2,30
4,98,2265,15.5,73,2,30
4,122,2451,16.5,74,1,30
4,79,1963,15.5,74,2,30
4,97,2300,14.5,74,2,30
4,116,2246,14,74,2,30
4,108,2391,15.5,74,3,30
4,98,2255,17.7,76,1,30
4,97,2265,18.2,77,3,30
4,156,2585,14.5,82,1,30
4,140,2870,18.1,80,1,30
4,140,2565,13.6,76,1,30
4,151,2635,16.4,81,1,30
8,350,3725,19,81,1,30
6,173,2700,12.9,79,1,30
4,97,2130,14.5,70,3,30
4,97,2130,14.5,71,3,30
4,97,1834,19,71,2,30
4,97,2100,16.5,72,3,30
4,101,2202,15.3,76,2,30
4,112,2640,18.6,82,1,30
4,151,2735,18,82,1,30
4,151,2950,17.3,82,1,30
4,140,2790,15.6,82,1,30
4,119,2300,14.7,78,3,30
4,141,3190,24.8,79,2,30
4,135,2490,15.7,81,1,30
4,121,2670,15,79,1,30
4,134,2560,14.2,78,3,30
4,156,2800,14.4,80,1,30
4,140,2264,15.5,71,1,30
4,116,2123,14,71,2,30
4,97,2288,17,72,3,30
4,98,2164,15,72,1,30
4,90,2125,14.5,74,1,30
4,107,2464,15.5,76,2,30
4,97,2155,16.4,76,3,30
4,151,2678,16.5,80,1,30
4,112,2605,19.6,82,1,30
4,120,2625,18.6,82,1,30
4,141,3230,20.4,81,2,30
4,151,2670,16,79,1,30
6,173,2595,11.3,79,1,30
4,68,1867,19.5,73,2,30
4,98,2219,16.5,74,2,30
4,97,2171,16,75,3,30
4,90,1937,14,75,2,30
4,85,2035,22.2,76,1,30
4,90,1937,14.2,76,2,30
4,97,1940,14.5,77,2,30
4,135,2525,16,82,1,30
4,97,1825,12.2,76,2,30
4,98,2135,16.6,78,3,30
4,134,2711,15.5,80,3,30
4,89,1845,15.3,80,2,30
4,98,2380,20.7,81,1,30
4,79,2074,19.5,71,2,30
4,88,2065,14.5,71,2,30
4,111,2155,14.8,77,1,30
4,97,1985,16.4,77,3,30
4,98,2155,16.5,78,1,30
4,146,3250,21.8,80,2,30
4,135,2385,12.9,81,1,30
4,98,2051,17,77,1,30
4,97,2190,14.1,77,2,30
6,145,3160,19.6,81,2,30
4,105,2230,14.5,78,1,30
4,71,1773,19,71,3,30
4,79,1950,19,74,3,30
4,76,1649,16.5,74,3,30
4,79,2000,16,74,2,30
4,112,2575,16.2,82,1,30
4,91,1970,17.6,82,3,30
4,119,2720,19.4,82,1,30
4,120,2542,17.5,80,3,30
4,98,2045,18.5,77,3,30
4,89,1990,14.9,78,2,30
4,120,2635,18.3,81,3,30
4,85,2020,19.2,79,3,30
4,89,1925,14,79,2,30
4,71,1836,21,74,3,30
4,83,2003,19,74,3,30
4,85,1990,17,76,3,30
4,91,1965,15.7,82,3,30
4,144,2665,13.9,82,3,30
4,135,2295,11.6,82,1,30
4,98,2120,15.5,80,1,30
4,108,2265,15.2,80,3,30
4,97,2065,17.8,81,3,30
4,107,2290,17,80,3,30
4,108,2350,16.8,81,3,30
6,168,2910,11.4,80,3,30
4,78,1985,19.4,78,3,30
4,119,2615,14.8,81,3,30
4,91,1795,17.5,75,3,30
4,91,1795,17.4,76,3,30
4,105,2190,14.2,81,2,30
4,85,1945,16.8,77,3,30
4,98,2075,15.9,77,1,30
4,151,2556,13.2,79,1,30
4,107,2210,14.4,81,3,30
4,97,2145,18,80,3,30
4,112,2395,18,82,1,30
4,108,2245,16.9,82,3,30
4,86,1975,15.2,79,3,30
4,91,1985,16,81,3,30
4,105,2200,13.2,79,1,30
4,97,2188,15.8,80,2,30
4,98,2045,16.2,81,1,30
4,105,2150,14.9,79,1,30
4,100,2320,15.8,81,2,30
4,105,2215,14.9,81,1,30
4,72,1613,18,71,3,40
4,122,2500,15.1,80,2,40
4,81,1760,16.1,81,3,40
4,98,1915,14.4,79,1,40
4,79,1825,18.6,77,2,40
4,105,1980,15.3,82,2,40
4,98,2125,17.3,82,1,40
4,120,2160,14.5,82,3,40
4,107,2205,14.5,82,3,40
4,135,2370,13,82,1,40
4,98,1800,14.4,78,1,40
4,91,1800,16.4,78,3,40
5,121,2950,19.9,80,2,40
4,119,2434,15,80,3,40
4,85,1975,19.4,81,3,40
4,91,2025,18.2,82,3,40
4,86,2019,16.4,80,3,40
4,91,2130,14.7,79,2,40
4,89,2050,17.3,81,3,40
4,105,2125,14.7,82,1,40
4,91,1965,15,82,3,40
4,91,1995,16.2,82,3,40
6,262,3015,17,82,1,40
4,89,1968,18.8,80,3,40
4,86,1875,16.4,81,1,40
4,79,1755,16.9,81,3,40
4,85,2070,18.6,78,3,40
4,85,2110,19.2,80,3,40
4,85,1835,17.3,80,2,40
4,98,2144,14.7,80,2,40
4,90,1985,21.5,78,2,40
4,90,2335,23.7,80,2,40
4,97,2130,24.6,82,2,40
4,90,2085,21.7,80,2,40
4,91,1850,13.8,80,3,40
4,86,2110,17.9,80,3,50
